word,sentence1,sentence2,same,ambiguity_type,disambiguating_word1,disambiguating_word2,version,Class,mean_relatedness,median_relatedness,diff,count,sd_relatedness,distance_bert,distance_elmo,se_relatedness,v1,v2
act,It was a desperate act,It was a magic act,FALSE,Polysemy,desperate,magic,M1_a_M2_a,N,2181818182,2,0181818182,11,1328019715,0204110265,0034093499,040041301,M1_a,M2_a
act,It was a desperate act,It was a comedic act,FALSE,Polysemy,desperate,comedic,M1_a_M2_b,N,2,2,0,7,1290994449,0215615511,0045926571,0487950036,M1_a,M2_b
act,It was a humane act,It was a magic act,FALSE,Polysemy,humane,magic,M1_b_M2_a,N,2818181818,3,0181818182,11,0981649817,0191488087,0042350948,0295978556,M1_b,M2_a
act,It was a humane act,It was a comedic act,FALSE,Polysemy,humane,comedic,M1_b_M2_b,N,280952381,3,019047619,21,092838826,0225271583,005770725,0202590927,M1_b,M2_b
act,It was a desperate act,It was a humane act,TRUE,Polysemy,desperate,humane,M1_a_M1_b,N,39,4,01,10,0316227766,0167989969,0041440308,01,M1_a,M1_b
act,It was a magic act,It was a comedic act,TRUE,Polysemy,magic,comedic,M2_a_M2_b,N,3764705882,4,0235294118,17,0437237316,0162387192,0035784066,0106045626,M2_a,M2_b
appeal,He had a universal appeal,He had a legal appeal,FALSE,Polysemy,universal,legal,M1_a_M2_a,N,1571428571,1,0571428571,14,1741541568,0370739162,0108166337,0465446562,M1_a,M2_a
appeal,He had a universal appeal,He had a pending appeal,FALSE,Polysemy,universal,pending,M1_a_M2_b,N,1,0,1,18,1328422328,0430851221,0150558531,0313112146,M1_a,M2_b
appeal,He had an undefinable appeal,He had a legal appeal,FALSE,Polysemy,undefinable,legal,M1_b_M2_a,N,1235294118,1,0235294118,17,1200490096,0398581862,013264215,0291161616,M1_b,M2_a
appeal,He had an undefinable appeal,He had a pending appeal,FALSE,Polysemy,undefinable,pending,M1_b_M2_b,N,0714285714,0,0714285714,7,1253566341,04461236,0182452857,0473803541,M1_b,M2_b
appeal,He had a universal appeal,He had an undefinable appeal,TRUE,Polysemy,universal,undefinable,M1_a_M1_b,N,37,4,03,10,0483045892,0120313466,0045355678,0152752523,M1_a,M1_b
appeal,He had a legal appeal,He had a pending appeal,TRUE,Polysemy,legal,pending,M2_a_M2_b,N,3272727273,4,0727272727,11,0904534034,0098901391,0060672343,0272727273,M2_a,M2_b
atmosphere,It was a tense atmosphere,It was a gaseous atmosphere,FALSE,Polysemy,tense,gaseous,M1_a_M2_a,N,1214285714,1,0214285714,14,1050902281,0352736831,0102721155,0280865449,M1_a,M2_a
atmosphere,It was a tense atmosphere,It was a polluted atmosphere,FALSE,Polysemy,tense,polluted,M1_a_M2_b,N,1846153846,2,0153846154,13,128102523,0256296635,0068193078,0355292473,M1_a,M2_b
atmosphere,It was a hostile atmosphere,It was a gaseous atmosphere,FALSE,Polysemy,hostile,gaseous,M1_b_M2_a,N,1538461538,2,0461538462,13,0877058019,0252422631,0092967808,0243252128,M1_b,M2_a
atmosphere,It was a hostile atmosphere,It was a polluted atmosphere,FALSE,Polysemy,hostile,polluted,M1_b_M2_b,N,2181818182,2,0181818182,11,0873862898,0126936376,0052345157,0263479577,M1_b,M2_b
atmosphere,It was a tense atmosphere,It was a hostile atmosphere,TRUE,Polysemy,tense,hostile,M1_a_M1_b,N,4,4,0,11,0,0129758179,0037254393,0,M1_a,M1_b
atmosphere,It was a gaseous atmosphere,It was a polluted atmosphere,TRUE,Polysemy,gaseous,polluted,M2_a_M2_b,N,3466666667,4,0533333333,15,0639940473,0199588358,0037874043,016523192,M2_a,M2_b
bail,He bailed out the prisoner,He bailed out the water,FALSE,Homonymy,prisoner,water,M1_a_M2_a,V,0894736842,1,0105263158,19,1100239208,0294229746,0079534769,0252412185,M1_a,M2_a
bail,He bailed out the prisoner,He bailed out the liquid,FALSE,Homonymy,prisoner,liquid,M1_a_M2_b,V,0666666667,1,0333333333,9,0707106781,0287322104,0099640667,023570226,M1_a,M2_b
bail,He bailed out the defendant,He bailed out the water,FALSE,Homonymy,defendant,water,M1_b_M2_a,V,075,05,025,8,088640526,0443184912,0110985637,0313391585,M1_b,M2_a
